Company Name,Industry,Stage,Amount($),HeadQuarter,Funding Year,category
CARS24,Retail,Series A to Series H,200000000.0,Haryana,2020,Other
Astrogate Labs,Spacetech,unknown,111909478.7413793,Bangalore,2020,Technology
Power Gummies,HealthTech,Later Stage,111909478.7413793,New Delhi,2020,Technology
Cityflo,Transportation,Series A to Series H,7000000.0,Mumbai,2020,Autommotive $ Transportation
AlgoBulls,Trading platform,unknown,200000.0,Mumbai,2020,Other
Credgenics,FinTech,Early Stage,3000000.0,Gurugram,2020,Technology
Inntot,Tech company,unknown,111909478.7413793,Kerala,2020,Technology
Ensuredit,FinTech,Early Stage,300000.0,Gurugram,2020,Technology
Shipsy,AI Company,Series A to Series H,6000000.0,Gurugram,2020,Other
ERPNext,Tech company,unknown,1000000.0,Mumbai,2020,Technology
LightSpeedAI,Photonics startup,unknown,111909478.7413793,Bangalore,2020,Other
Grip Invest,FinTech,Early Stage,111909478.7413793,Gurugram,2020,Technology
Unacademy,EdTech,unknown,111909478.7413793,Bangalore,2020,Technology
Yellow Classes,EdTech,Early Stage,1300000.0,Gurugram,2020,Technology
Plum,HealthTech,unknown,4100000.0,Bangalore,2020,Technology
STAGE,Entertainment,unknown,1000000.0,Indore,2020,Other
Nykaa,Cosmetics,unknown,111909478.7413793,Mumbai,2020,Other
Kaagaz Scanner,Scanning app,unknown,575000.0,unknown,2020,Other
NIRA,FinTech,unknown,1000000.0,Bangalore,2020,Technology
Prolixr,Skincare startup,Early Stage,111909478.7413793,Gurugram,2020,Other
Byju's,EdTech,unknown,200000000.0,Bangalore,2020,Technology
DaMENSCH,E-commerce,unknown,6000000.0,Bangalore,2020,E-Commerce & Marketplace
Country Delight,Food and Beverages,Series A to Series H,25000000.0,Haryana,2020,Food & Agriculture
SignalX,AI startup,Early Stage,800000.0,Hyderabad,2020,Other
Lancify,EdTech,unknown,300000.0,Bangalore,2020,Technology
Krimanshi,Biotechnology company,Early Stage,600000.0,Jodhpur,2020,Technology
Instoried,AI startup,Early Stage,1000000.0,Bangalore,2020,Other
PlayerzPot,Gaming startup,Series A to Series H,3000000.0,Mumbai,2020,Other
Instamojo,FinTech,unknown,111909478.7413793,Bangalore,2020,Technology
Turtlemint,HealthTech,unknown,30000000.0,Mumbai,2020,Technology
Arata,E-commerce,Early Stage,1000000.0,New Delhi,2020,E-Commerce & Marketplace
MPL,Gaming startup,unknown,5000000.0,Bangalore,2020,Other
True Balance,FinTech,unknown,28000000.0,Gurugram,2020,Technology
Thrive,FoodTech,Early Stage,111909478.7413793,Mumbai,2020,Technology
Kitchens Centre,Proptech,Early Stage,111909478.7413793,New Delhi,2020,Technology
Prescribe,HealthTech,unknown,100000.0,Chennai,2020,Technology
Nepra,CleanTech,Series A to Series H,18000000.0,Ahmedabad,2020,Technology
inFeedo,SaaS startup,unknown,3200000.0,Gurugram,2020,Other
Shilpa Sciences,HealthTech,Early Stage,111909478.7413793,Bangalore,2020,Technology
Arzooo,Tech Startup,unknown,111909478.7413793,Bangalore,2020,Technology
MindTickle,SaaS platform,Later Stage,100000000.0,Pune,2020,Other
Slice,FinTech,Later Stage,5000000.0,Bangalore,2020,Technology
Rapawalk,E-commerce,Early Stage,300000.0,Bangalore,2020,E-Commerce & Marketplace
Oga Fit's,Fitness startup,Early Stage,111909478.7413793,Bangalore,2020,Other
LAVAL,Cosmetics,Early Stage,111909478.7413793,Bangalore,2020,Other
Stride Ventures,Venture capitalist,unknown,80000000.0,New Delhi,2020,Other
BlackSoil,FinTech,unknown,10000000.0,Mumbai,2020,Technology
Biocon,Healthcare,unknown,15000000.0,Bangalore,2020,Healthcare
Clientjoy,SaaS startup,Early Stage,800000.0,Gujarat,2020,Other
Xpressbees,E-commerce,unknown,100000000.0,Pune,2020,E-Commerce & Marketplace
GalaxyCard,FinTech,Early Stage,111909478.7413793,Gurugram,2020,Technology
Wellness Forever,HealthTech,unknown,100000000.0,Mumbai,2020,Technology
MoooFarm,AgriTech,Early Stage,500000.0,Gurugram,2020,Technology
BitClass,PaaS startup,Early Stage,2000000.0,Bangalore,2020,Other
Gonuts,Entertainment,Early Stage,400000.0,Mumbai,2020,Other
Uolo,EdTech,Early Stage,2000000.0,Bangalore,2020,Technology
Kirana King,Retail,Early Stage,900000.0,Jaipur,2020,Other
Jade Forest,Beverages,Early Stage,250000.0,Delhi,2020,Food & Agriculture
iKure,HealthTech,unknown,111909478.7413793,Kolkata,2020,Technology
FrontRow,EdTech,Early Stage,3200000.0,Bangalore,2020,Technology
Reliance Retail,E-commerce,unknown,10000000.0,Mumbai,2020,E-Commerce & Marketplace
TUBBR,Social Media,unknown,111909478.7413793,Frisco,2020,Other
Ather Energy,Automobiles,Series A to Series H,35000000.0,Bangalore,2020,Autommotive $ Transportation
Routematic,SaaS startup,unknown,2000000.0,Bangalore,2020,Other
LivFin,FinTech,unknown,4700000.0,New Delhi,2020,Technology
Universal Sportsbiz Pvt Ltd,Fashion startup,unknown,111909478.7413793,Bangalore,2020,Other
Lattu Kids,EdTech,unknown,111909478.7413793,Mumbai,2020,Technology
Eggoz,Food & Bevarages,Early Stage,1500000.0,Indore,2020,Food & Agriculture
Steradian Semiconductors,Deeptech,unknown,111909478.7413793,Bangalore,2020,Technology
CHARGE+ZONE,EV startup,Early Stage,3000000.0,Gujarat,2020,Other
Stones2milestones,EdTech,Later Stage,2000000.0,Gurugram,2020,Technology
Udacity,EdTech,Later Stage,75000000.0,California,2020,Technology
AjnaLens,AR/VR startup,Later Stage,1000000.0,Thane,2020,Other
Gully Network,E-commerce,Early Stage,1200000.0,Bangalore,2020,E-Commerce & Marketplace
TurboHire,Recruitment startup,Early Stage,1000000.0,Hyderabad,2020,Other
Traya,HealthTech,Early Stage,111909478.7413793,Mumbai,2020,Technology
Charcoal Eats,QSR startup,unknown,2000000.0,Mumbai,2020,Other
Mitron TV,Video platform,unknown,111909478.7413793,Bangalore,2020,Other
Svami,Food & Bevarages,unknown,800000.0,Mumbai,2020,Food & Agriculture
Dhurnia,EdTech,unknown,100000.0,Dhingsara,2020,Technology
Expertrons,EdTech,unknown,111909478.7413793,Mumbai,2020,Technology
Leena AI,AI startup,unknown,8000000.0,New York,2020,Other
Bizlog,Logistics,unknown,1000000.0,Bangalore,2020,Autommotive $ Transportation
Tamasha.live,Gaming,unknown,300000.0,Mumbai,2020,Other
Fedo,AI startup,unknown,1000000.0,Bangalore,2020,Other
FabHotels,Hospitality,unknown,1000000.0,Gurugram,2020,Other
Freshokartz,AgriTech,Early Stage,1000000.0,Jaipur,2020,Technology
FlexiLoans,FinTech,Later Stage,6000000.0,Mumbai,2020,Technology
Agrix,AgriTech,unknown,111909478.7413793,Patna,2020,Technology
BharatAgri,AgriTech,Early Stage,111909478.7413793,Pune,2020,Technology
FreshtoHome,E-commerce,Series A to Series H,121000000.0,Bangalore,2020,E-Commerce & Marketplace
Credable,FinTech,unknown,4500000.0,Mumbai,2020,Technology
Railofy,Transportation,Early Stage,5000000.0,Mumbai,2020,Autommotive $ Transportation
Finova Capital,FinTech,unknown,55000000.0,Jaipur,2020,Technology
Teachmint,Edtech,Early Stage,3500000.0,Bangalore,2020,Technology
Peel-Works,E-commerce,unknown,3000000.0,Mumbai,2020,E-Commerce & Marketplace
Janani,Fertility tech,Early Stage,200000.0,Bangalore,2020,Technology
Credgenics,FinTech,Early Stage,3300000.0,Gurugram,2020,Technology
Finelistings,Luxury car startup,unknown,111909478.7413793,New Delhi,2020,Other
Wellversed,Healthcare,Early Stage,111909478.7413793,New Delhi,2020,Healthcare
Jumbotail,E-commerce,Series A to Series H,11000000.0,Bangalore,2020,E-Commerce & Marketplace
Winzo,Gaming startup,unknown,2000000.0,New Delhi,2020,Other
mCaffeine,Cosmetics,Series A to Series H,5000000.0,Mumbai,2020,Other
Pocket FM,FM,Series A to Series H,5000000.0,Bangalore,2020,Other
Snackible,Healthcare,Later Stage,111909478.7413793,Mumbai,2020,Healthcare
FreshtoHome,E-commerce,unknown,16000000.0,Bangalore,2020,E-Commerce & Marketplace
Jumbotail,Retail,Series A to Series H,11000000.0,Bangalore,2020,Other
Nykaa,E-commerce,unknown,111909478.7413793,Mumbai,2020,E-Commerce & Marketplace
TagZ Foods,Food,unknown,111909478.7413793,Bangalore,2020,Food & Agriculture
Genius Teacher,Edtech,unknown,2000000.0,Mumbai,2020,Technology
Krimanshi Feeds,Nutrition sector,unknown,500000.0,Jodhpur,2020,Other
Origo,AgriTech,Later Stage,4000000.0,Gurugram,2020,Technology
GetVantage,FinTech,Early Stage,5000000.0,Mumbai,2020,Technology
Betterplace,Tech platform,Series A to Series H,10000000.0,Bangalore,2020,Technology
Biddano,Healthcare,Early Stage,600000.0,Mumbai,2020,Healthcare
InVideo,Video,Series A to Series H,15000000.0,Mumbai,2020,Other
Arzooo,Retail Tech,Series A to Series H,7500000.0,Bangalore,2020,Technology
Hubilo,Tech company,Early Stage,4500000.0,San Francisco,2020,Technology
BASIC Home Loan,FinTech,Early Stage,5000000.0,Gurugram,2020,Technology
Ketos,AI startup,unknown,18000000.0,San Francisco,2020,Other
SUGAR cosmetics,Cosmetics,Later Stage,2000000.0,Mumbai,2020,Other
Signzy,FinTech,unknown,5400000.0,Bangalore,2020,Technology
Ahaguru,Edtech,Series A to Series H,111909478.7413793,Chennai,2020,Technology
Tekion,AI startup,Series A to Series H,150000000.0,San Ramon,2020,Other
Brighteye Ventures,Edtech,unknown,5400000.0,Paris,2020,Technology
EzeRx,Medtech,Early Stage,200000.0,Kolkata,2020,Technology
VitalTech,HeathTech,Early Stage,3000000.0,Plano,2020,Technology
Ultraviolette Automotive,Automobiles,Series A to Series H,4000000.0,Bangalore,2020,Autommotive $ Transportation
Tring,Social Media,unknown,111909478.7413793,Mumbai,2020,Other
Rare Planet,Retail startup,Early Stage,400000.0,Kolkata,2020,Other
GoodGamer,Gaming,Early Stage,2500000.0,Bangalore,2020,Other
InnAccel,Medtech,Early Stage,1500000.0,Bangalore,2020,Technology
Tiliter,Retail,unknown,7500000.0,Sydney,2020,Other
Slintel,Sles and marketing,unknown,4200000.0,San Francisco Bay Area,2020,E-Commerce & Marketplace
SoOLEGAL,LegalTech,unknown,4000000.0,New Delhi,2020,Technology
HobSpace,Edtech,Early Stage,200000.0,Mumbai,2020,Technology
Supplynote,SaaS startup,Early Stage,500000.0,Noida,2020,Other
Hire Me Car,Car Service,Early Stage,111909478.7413793,Noida,2020,Other
ShopUp,E-commerce,Series A to Series H,22000000.0,Bangaldesh,2020,E-Commerce & Marketplace
Harmonizer India,Tech Startup,unknown,111909478.7413793,Bangalore,2020,Technology
Zomato,FoodTech,unknown,52000000.0,Gurugram,2020,Technology
Dukaan,Tech Startup,Early Stage,6000000.0,Mumbai,2020,Technology
CredR,Bike marketplace,unknown,2000000.0,Mumbai,2020,E-Commerce & Marketplace
Satyukt,Agri tech,Early Stage,500000.0,Bangalore,2020,Technology
RACEnergy,Automobiles,unknown,111909478.7413793,Hyderabad,2020,Autommotive $ Transportation
TREAD,Fitness startup,Early Stage,1100000.0,Bangalore,2020,Other
Anveshan,FoodTech,Early Stage,100000.0,Bangalore,2020,Technology
TeaMonk,Food & Bevarages,Early Stage,900000.0,Bangalore,2020,Food & Agriculture
Fleetx,Tech Startup,Early Stage,3000000.0,Gurugram,2020,Technology
ReNEWate,Real Estate,Early Stage,111909478.7413793,Pune,2020,Real Estate $ Property
Tango Eye,SaaS startup,Early Stage,111909478.7413793,Chennai,2020,Other
Rare Planet,Reatil startup,Early Stage,111909478.7413793,Kolkata,2020,Other
Avataa Me,AR platform,Series A to Series H,7000000.0,Bangalore,2020,Other
Arrival,EV startup,unknown,118000000.0,London,2020,Other
Cover Genius,FinTech,unknown,15000000.0,Sydney,2020,Technology
Phononic Vibes,Deeptech,unknown,2300000.0,Milano,2020,Technology
MikeLegal,LegalTech,Early Stage,111909478.7413793,Gurugram,2020,Technology
Clair,FinTech,Early Stage,4500000.0,New York,2020,Technology
Gourmet Garden,Consumer Goods,unknown,111909478.7413793,Palmwoods,2020,Other
Miko,AI startup,Early Stage,3000000.0,Mumbai,2020,Other
Razorpay,FinTech,Series A to Series H,100000000.0,Bangalore,2020,Technology
Ninjacart,Food Industry,unknown,30000000.0,Bangalore,2020,Food & Agriculture
Wow! Momo,Food Industry,Later Stage,5000000.0,Kolkata,2020,Food & Agriculture
Pepper Content,Content marketplace,Series A to Series H,4200000.0,Mumbai,2020,E-Commerce & Marketplace
LIVSPACE,Interior Design,Later Stage,4000000.0,Bangalore,2020,Other
Acculi Labs,Healthcare,Early Stage,600000.0,Bangalore,2020,Healthcare
Your MD,Healthcare,unknown,25000000.0,London,2020,Healthcare
Antaios,Tech company,unknown,11000000.0,France,2020,Technology
Unnati,AgriTech,Early Stage,1700000.0,Noida,2020,Technology
Disprz,Edtech,Early Stage,1600000.0,Chennai,2020,Technology
Uni,FinTech,Early Stage,18500000.0,Mumbai,2020,Technology
Credit Wise Capital,FinTech,Early Stage,6000000.0,Mumbai,2020,Technology
Chargebee,SaaS startup,Series A to Series H,55000000.0,San Francisco Bay Area,2020,Other
Reliance Retail Ventures Ltd,Retail,unknown,70000000000.0,Mumbai,2020,Other
Winuall,Edtech,unknown,2000000.0,Bangalore,2020,Technology
Genrobotics,AI startup,unknown,300000.0,Trivandrum,2020,Other
Livve,Rental space,Early Stage,1500000.0,Cochin,2020,Other
Ergos,AgriTech,Series A to Series H,5000000.0,Samastipur,2020,Technology
Krishitantra,Soil-Tech,Early Stage,1000000.0,Hyderabad,2020,Technology
PakkaProfile,Recruitment startup,Early Stage,111909478.7413793,Bangalore,2020,Other
Monet Networks,AI startup,Later Stage,500000.0,Irvine,2020,Other
Unocoin,FinTech,Series A to Series H,111909478.7413793,Tumkur,2020,Technology
Pesto,Edtech,unknown,111909478.7413793,New Delhi,2020,Technology
NirogStreet,Ayurveda tech,Early Stage,2000000.0,Gurugram,2020,Technology
Bambrew,Packaging solution startup,Early Stage,111909478.7413793,Bangalore,2020,Other
Omnify,SaaS startup,Early Stage,111909478.7413793,San Francisco Bay Area,2020,Other
Fanball XI,Gaming,Early Stage,1000000.0,New Delhi,2020,Other
Treebo Hotels,Hospitality,unknown,6000000.0,Bangalore,2020,Other
GPS Renewables,Cleantech,Series A to Series H,3000000.0,Bangalore,2020,Technology
Public,Social Media,unknown,30000000.0,New Delhi,2020,Other
Legal Salah,LegalTech,Early Stage,1000000.0,Kolkata,2020,Technology
FanPlay,Gaming,Early Stage,111909478.7413793,New Delhi,2020,Other
ECOSTP,Sanitation solutions,unknown,19000000.0,Bangalore,2020,Other
Coralogix,SaaS startup,Series A to Series H,25000000.0,San Francisco,2020,Other
Equiwatt,Tech company,unknown,300000.0,Newcastle Upon Tyne,2020,Technology
Reliance Retail Ventures,E-commerce,unknown,800000000.0,Mumbai,2020,E-Commerce & Marketplace
Zhangmen,Edtech,unknown,400000000.0,Shanghai,2020,Technology
AgroWave,AgriTech,unknown,500000.0,Gurugram,2020,Technology
Sapio Analytics,Tech company,unknown,150000.0,Mumbai,2020,Technology
Taimei,HealthCare,unknown,176000000.0,Jiaxing,2020,Healthcare
Avanse Financial Services,FinTech,unknown,15000000.0,Mumbai,2020,Technology
Industry Buying,E-commerce,unknown,15000000.0,New Delhi,2020,E-Commerce & Marketplace
Hopscotch,E-commerce,unknown,25000000.0,Mumbai,2020,E-Commerce & Marketplace
Pristyn Care,HealthCare,unknown,11000000.0,Gurugram,2020,Healthcare
WoodenStreet,Home Design,unknown,1000000.0,Rajastan,2020,Other
ACKO,InsureTech,unknown,60000000.0,Mumbai,2020,Technology
Farmers Fresh Zone,AgriTech,unknown,470000.0,Kochi,2020,Technology
Invento,AI Startup,unknown,111909478.7413793,Bangalore,2020,Other
Infurnia,Tech Startup,unknown,240000.0,Bangalore,2020,Technology
AnalytIQSports's SuperCric,Entertainment,unknown,111909478.7413793,Bangalore,2020,Other
Snowflake,Tech company,unknown,3000000000.0,California,2020,Technology
GenieTalk,Tech company,unknown,750000.0,Indore,2020,Technology
Classplus,EdTech,unknown,10000000.0,Noida,2020,Technology
Mobile Premier League,Entertainment,unknown,74000000.0,Bangalore,2020,Other
Fourth Partner Energy,Solar solution,unknown,16000000.0,Hyderabad,2020,Other
Flipkart,E-commerce,unknown,62000000.0,Bangalore,2020,E-Commerce & Marketplace
Vivriti Capital,FinTech,unknown,1000000.0,Chennai,2020,Technology
InsuranceDekho,FinTech,unknown,20000000.0,Ludhiana,2020,Technology
BestDoc,HealthCare,unknown,2100000.0,Kochi,2020,Healthcare
Byju’s,EdTech,unknown,500000000.0,Bangalore,2020,Technology
Melorra,Jewellery startup,unknown,12500000.0,Bangalore,2020,Healthcare
Reliance,Multinational conglomerate company,unknown,2200000000.0,Mumbai,2020,Other
Inflexor Ventures,FinTech,unknown,10000000.0,Mumbai,2020,Technology
Pandorum,Deeptech startup,unknown,5060000.0,Bangalore,2020,Technology
SpeakIn,Social Network,unknown,111909478.7413793,Noida,2020,Other
LetsUp,Publication,unknown,111909478.7413793,Mumbai,2020,Other
Newsreach,Publication,unknown,111909478.7413793,Gujarat,2020,Other
Dream11,Entertainment,unknown,225000000.0,Mumbai,2020,Other
SignalX,SaaS platform,unknown,750000.0,Hyderabad,2020,Other
JetSynthesys,Tech,unknown,40000000.0,Mumbai,2020,Technology
Vesta Space Technology,Tech Startup,unknown,10000000.0,Pune,2020,Technology
Dozee,HealthTech,unknown,1600000.0,Bangalore,2020,Technology
Rebel Foods,Food,unknown,50000000.0,Pune,2020,Food & Agriculture
Nykaa,Fashion,unknown,24700000.0,Mumbai,2020,Other
Ketto,Finance,unknown,7700000.0,Mumbai,2020,Finance $ Banking
Suryoday,Finance,unknown,800000.0,Mumbai,2020,Finance $ Banking
SucSEED,Finance,unknown,1300000.0,Hyderabad,2020,Finance $ Banking
Unacademy,EdTech,unknown,150000000.0,Bangalore,2020,Technology
Strata,Real Estate,unknown,19067328.0,Bangalore,2020,Real Estate $ Property
3one4 Capital,Venture capital,unknown,100000000.0,Bangalore,2020,Other
WE-Hub,Entreprenurship,unknown,111909478.7413793,Hyderabad,2020,Other
Zomato,Food devlivery,unknown,62000000.0,Haryana,2020,Food & Agriculture
Vicara,Tech Startup,unknown,111909478.7413793,Bangalore,2020,Technology
Gaana,Entertainment,unknown,51000000.0,Gurugram,2020,Other
EM3 Agri,AgriTech,unknown,1000000.0,Noida,2020,Technology
Plum,Cosmetics,unknown,115000.0,Thane,2020,Other
Odwen,Warehouse,unknown,54000.0,Noida,2020,Other
Fasal,AgriTech,unknown,20000.0,Bangalore,2020,Technology
Trukky,Logistics,unknown,111909478.7413793,Ahmedabad,2020,Autommotive $ Transportation
BankBazaar,Online financial service,unknown,9000000.0,Chennai,2020,Other
Specsmakers,Eyeglasses,unknown,3000000.0,Chennai,2020,Other
Grinntech,Battery design,unknown,2000000.0,Dehradun,2020,Other
CreditMantri,Online credit management startup,unknown,803146.0,Chennai,2020,Finance $ Banking
Chai Waale,Beverage,unknown,238000.0,Chennai,2020,Food & Agriculture
Deepsync,Tech Startup,unknown,300000.0,Bangalore,2020,Technology
ConnectedH,HealthCare,unknown,111909478.7413793,Gurgaon,2020,Healthcare
Reliance Retail,E-commerce,unknown,10220000.0,Mumbai,2020,E-Commerce & Marketplace
QShala,EdTech,unknown,300000.0,Bangalore,2020,Technology
Pitstop,Car Service,unknown,1020000.0,Bangalore,2020,Other
Zomato,Food devlivery,unknown,100000000.0,Haryana,2020,Food & Agriculture
Customfit ai,SaaS startup,unknown,111909478.7413793,Bangalore,2020,Other
Nirmata,Tech,unknown,111909478.7413793,San Franciscao,2020,Technology
Hire Me Car,TravelTech,Early Stage,111909478.7413793,Noida,2020,Technology
Oga Fit,Fitness startup,Early Stage,111909478.7413793,Bangalore,2020,Other
ShipsKart,E-commerce,Early Stage,200000.0,New Delhi,2020,E-Commerce & Marketplace
SquadStack,Tech company,Series A to Series H,5000000.0,San Francisco,2020,Technology
Financepeer,EdTech,Early Stage,3000000.0,Mumbai,2020,Technology
Cashify,E-commerce,Later Stage,10000000.0,Gurugram,2020,E-Commerce & Marketplace
Etrio,EV startup,Series A to Series H,3000000.0,Hyderabad,2020,Other
Codeyoung,EdTech,Early Stage,111909478.7413793,Bangalore,2020,Technology
StayQrious,EdTech,Early Stage,2000000.0,Bangalore,2020,Technology
Sunstone Eduversity,EdTech,Series A to Series H,3000000.0,Gurugram,2020,Technology
Infilect,SaaS startup,Early Stage,1500000.0,Bangalore,2020,Other
MobiGarage,E-commerce,Early Stage,111909478.7413793,New Delhi,2020,E-Commerce & Marketplace
Samunnati,Agriculture,Later Stage,20000000.0,Chennai,2020,Food & Agriculture
WeInnovate Biosolutions,Startup laboratory,Early Stage,111909478.7413793,Pune,2020,Other
Yummy Corp,Food Industry,Series A to Series H,12000000.0,Tangerang,2020,Food & Agriculture
Smallcase,FinTech,Series A to Series H,13400000.0,Bangalore,2020,Technology
Clairvolex,Tech Startup,Later Stage,2000000.0,California,2020,Technology
Assiduus,E-commerce,Series A to Series H,1000000.0,Bangalore,2020,E-Commerce & Marketplace
Brinton,HealthTech,Later Stage,1300000.0,California,2020,Technology
AFK Gaming,Entertainment,Early Stage,200000.0,Mumbai,2020,Other
Infarm,AgriTech,Series A to Series H,170000000.0,Berlin,2020,Technology
Zuper,SaaS startup,Early Stage,1100000.0,Seattle,2020,Other
mCaffeine,Personal care startup,Series A to Series H,2900000.0,Mumbai,2020,Other
Origa,FinTech,Later Stage,2000000.0,Andheri,2020,Technology
GullyBuy Software,Tech Startup,Early Stage,543000.0,Pune,2020,Technology
Recordent,FinTech,Early Stage,111909478.7413793,Hyderabad,2020,Technology
MPL,Entertainment,Series A to Series H,90000000.0,Bangalore,2020,Other
Penny,SaaS startup,Early Stage,1300000.0,Riyadh,2020,Other
Onsitego,Customer service company,Series A to Series H,30000000.0,Mumbai,2020,Other
Precily,SaaS  startup,Early Stage,111909478.7413793,California,2020,Other
SmartClean,Tech Startup,Early Stage,3400000.0,Singapore,2020,Technology
ClanConnect,Marketing startup,Early Stage,600000.0,Delhi,2020,E-Commerce & Marketplace
Servify,Service industry,Series A to Series H,23000000.0,Mumbai,2020,Other
ShareChat,Social media,Early Stage,40000000.0,Bangalore,2020,Other
Rephrase.ai,AI,Early Stage,1500000.0,Bangalore,2020,Other
Melorra,Jewellery,Later Stage,8090000.0,Bangalore,2020,Healthcare
FabHotels,Hospitality,Series A to Series H,1030000.0,Gurugram,2020,Other
EkAnek,Tech Startup,Later Stage,5040000.0,New Delhi,2020,Technology
Cub McPaws,AR startup,Early Stage,800000.0,Mumbai,2020,Other
Zimyo,HR Tech startup,Early Stage,1500000.0,Gurgaon,2020,Technology
PumPumPum,Automotive Startup,Later Stage,360000.0,Gurgaon,2020,Autommotive $ Transportation
Burgerama,Food Startup,Early Stage,111909478.7413793,Gurgaon,2020,Food & Agriculture
Moms Co,HealthCare,Series A to Series H,8000000.0,Gurgaon,2020,Healthcare
DillyHub,Publication,Early Stage,1400000.0,Seoul,2020,Other
FPL Technologies,FinTech,Series A to Series H,10000000.0,Pune,2020,Technology
FITTR,Fitness startup,Early Stage,2000000.0,Pune,2020,Other
Illumnus,EdTech Startup,Early Stage,100000.0,Pune,2020,Technology
CashKaro,E-commerce,Series A to Series H,10000000.0,Gurgaon,2020,E-Commerce & Marketplace
Newton School,EdTech Startup,Early Stage,650000.0,Bangalore,2020,Technology
Airmeet,Tech Startup,Series A to Series H,12000000.0,Bangalore,2020,Technology
Observe ai,Tech,Series A to Series H,54000000.0,San Francisco,2020,Technology
InCred,Finance,Later Stage,5000000.0,Mumbai,2020,Finance $ Banking
Toppr,EdTech,Series A to Series H,35000000.0,Mumbai,2020,Technology
CarTrade,Car Trade,Series A to Series H,42500000.0,Mumbai,2020,Other
LEAD School,EdtTech,Series A to Series H,28000000.0,Mumbai,2020,Technology
Servify,Manufacturing,Series A to Series H,11370000.0,Mumbai,2020,Other
Lido Learning,EdTech,Series A to Series H,7500000.0,Mumbai,2020,Technology
Apna.co,Job portal,Series A to Series H,8000000.0,Bangalore,2020,Other
Quintype Technologies,Tech,Series A to Series H,325000.0,Bangalore,2020,Technology
Dunzo,Tech,Series A to Series H,28000000.0,Bangalore,2020,Technology
Entropik,AI Platform,Series A to Series H,8000000.0,Bangalore,2020,Other
Livspace,Home Design,Series A to Series H,9000000.0,Bangalore,2020,Other
Ultraviolette Automotive,Automation,Series A to Series H,410000.0,Bangalore,2020,Autommotive $ Transportation
WinZO,Gaming,Series A to Series H,18000000.0,New Delhi,2020,Other
SenseHawk,Solar SaaS,Series A to Series H,5000000.0,Bangalore,2020,Other
Railofy,WL & RAC protection,Early Stage,900000.0,Mumbai,2020,Other
Eloelo,Social commerce,Early Stage,450000.0,Bangalore,2020,E-Commerce & Marketplace
Aibono,AgriTech,Early Stage,2000000.0,Bangalore,2020,Technology
BuildPan,SaaS startup,Early Stage,500000.0,Indore,2020,Other
Homelane,Home interior services,Later Stage,8000000.0,Bangalore,2020,Consulting & Services
MyGlamm,Fashion,Series A to Series H,1000000.0,Mumbai,2020,Other
Aviom,Finance,Later Stage,682000.0,New Delhi,2020,Finance $ Banking
Flinto,EdTech Startup,Early Stage,7000000.0,Chennai,2020,Technology
WayCool,Agritech startup,Series A to Series H,5060000.0,Chennai,2020,Technology
YAP,API platform,Series A to Series H,4050000.0,Chennai,2020,Other
Big Bang Boom Solutions,Deep Tech,Series A to Series H,1050000.0,Chennai,2020,Technology
GUVI,EdTech Startup,Series A to Series H,800000.0,Chennai,2020,Technology
BluSmart,Electricity,Early Stage,7000000.0,Gurugram,2020,Other
Cell Propulsion,Automotive company,Early Stage,111909478.7413793,Bangalore,2020,Autommotive $ Transportation
MPL,Entertainment,Series A to Series H,50000000.0,Bangalore,2020,Other
Spoonshot,FMCG,Early Stage,1000000.0,Bangalore,2020,Other
Pulse,FinTech,Early Stage,750000.0,Mumbai,2020,Technology
Groww,FinTech,Series A to Series H,30000000.0,Bangalore,2020,Technology
i3 Systems,Insurance Tech,Early Stage,1050000.0,Mumbai,2020,Technology
SOAL,EdTech,Early Stage,1000000.0,Mumbai,2020,Technology
OckyPocky,EdTech,Early Stage,400000.0,Gurugram,2020,Technology
Hippo Video,Video personalization,Series A to Series H,4000000.0,New York,2020,Other
Hasura,Software Company,Series A to Series H,25000000.0,San Francisco,2020,Technology
Qapita,FinTech,Early Stage,1080000.0,Singapore,2020,Technology
Sunday,FinTech,Early Stage,9000000.0,Bangkok,2020,Technology
Gamezop,Gaming,Series A to Series H,4300000.0,Gurugram,2020,Other
Phool.co,Biomaterial startup,Early Stage,1400000.0,Kanpur,2020,Other
Chiratae Ventures,Venture capital,Early Stage,111909478.7413793,Bangalore,2020,Other
MedLife,Health,unknown,6800000.0,Bangalore,2020,Healthcare
IDfy,IT,Series A to Series H,2110000.0,Mumbai,2020,Other
True Balance,Finance,Series A to Series H,111909478.7413793,Gurugram,2020,Finance $ Banking
Bira91,Craft Beer,unknown,764000.0,New Delhi,2020,Other
Max wholesale,E-commerce,unknown,603000.0,New Delhi,2020,E-Commerce & Marketplace
Craftsvilla,E-commerce,unknown,409000.0,Mumbai,2020,E-Commerce & Marketplace
MechMocha,Entertainment,Series A to Series H,292000.0,Bangalore,2020,Other
Mindhouse,Healthtech,unknown,286000.0,Gurugram,2020,Technology
DeepSync,AI startup,unknown,136000.0,Chandigarh,2020,Other
Eruditus,Education,unknown,111909478.7413793,Mumbai,2020,Other
Gradeup,Education,unknown,546000.0,Noida,2020,Other
Tracxn,Investment,Series A to Series H,887000.0,Bangalore,2020,Other
Purple Style Labs,Fashion,unknown,43000.0,Mumbai,2020,Other
ProPhysio,Health,unknown,40900.0,Bangalore,2020,Healthcare
